Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm)
2020/01/29,UTTAR PRADESH,SAHARANPUR,0.13,486.04,1.18,25.34142144
2020/01/29,UTTAR PRADESH,KANNAUJ,0.58,244.54,4.54,23.07853641
2020/01/29,UTTAR PRADESH,SANT KABIR NAGAR,0,180.19,0,22.07456954
2020/01/29,UTTAR PRADESH,SONBHADRA,0.35,886.32,2.04,25.66165082
2020/01/29,UTTAR PRADESH,FATEHPUR,0.02,293.87,0.17,13.80547447
2020/01/29,UTTAR PRADESH,BARA BANKI,0.04,471.87,0.27,24.36323346
2020/01/29,UTTAR PRADESH,AZAMGARH,0,301.58,0,13.84768246
2020/01/29,UTTAR PRADESH,BAGHPAT,0,145.57,0.02,21.34153394
2020/01/29,UTTAR PRADESH,ALIGARH,0.03,427.19,0.28,22.29929132
2020/01/29,UTTAR PRADESH,HARDOI,0.07,655.84,0.58,21.3522686
2020/01/29,UTTAR PRADESH,RAE BARELI,0.04,422.49,0.36,17.93511341
2020/01/29,UTTAR PRADESH,GHAZIPUR,0,204.67,0,11.87304735
2020/01/29,UTTAR PRADESH,KAUSHAMBI,0,155.77,0,15.06372168
2020/01/29,UTTAR PRADESH,BULANDSHAHR,0.01,400.43,0.11,21.95522992
2020/01/29,UTTAR PRADESH,DEORIA,0,290.83,0,22.31744563
2020/01/29,UTTAR PRADESH,BAHRAICH,0.52,509.46,3.85,23.02450767
2020/01/29,UTTAR PRADESH,GORAKHPUR,0.07,379.17,0.48,22.09600416
2020/01/29,UTTAR PRADESH,BIJNOR,1.02,621.25,7.34,27.99543626
2020/01/29,UTTAR PRADESH,BANDA,0,386.09,0,16.71486536
2020/01/29,UTTAR PRADESH,MUZAFFARNAGAR,0.12,494.23,1.07,23.72181767
2020/01/29,UTTAR PRADESH,SANT RAVI DAS NAGAR(BHADOHI),0,72.9,0,14.18974484
2020/01/29,UTTAR PRADESH,HAMIRPUR,0,545.54,0,25.11214704
2020/01/29,UTTAR PRADESH,PRATAPGARH,0,367.67,0,19.42207196
2020/01/29,UTTAR PRADESH,ETAWAH,0.23,267.03,1.99,22.49554938
2020/01/29,UTTAR PRADESH,MORADABAD,2.17,588.02,15.21,31.62372264
2020/01/29,UTTAR PRADESH,AGRA,0.05,448.16,0.43,21.7950785
2020/01/29,UTTAR PRADESH,JAUNPUR,0,280.14,0,13.6292934
2020/01/29,UTTAR PRADESH,KANPUR NAGAR,0.02,308.84,0.17,21.0282264
2020/01/29,UTTAR PRADESH,JHANSI,0.04,637.51,0.24,24.68870975
2020/01/29,UTTAR PRADESH,SIDDHARTH NAGAR,0,331.26,0.03,22.89193944
2020/01/29,UTTAR PRADESH,MEERUT,0.04,324.56,0.44,24.19884389
2020/01/29,UTTAR PRADESH,PILIBHIT,0.08,438.68,0.65,23.82325327
2020/01/29,UTTAR PRADESH,SHAHJAHANPUR,0.03,422.57,0.23,17.74498681
2020/01/29,UTTAR PRADESH,KANPUR DEHAT,0.33,375.26,2,22.89361709
2020/01/29,UTTAR PRADESH,FIROZABAD,0.02,258.98,0.17,21.09620678
2020/01/29,UTTAR PRADESH,AYODHYA,0,325.96,0.01,23.34198128
2020/01/29,UTTAR PRADESH,KUSHINAGAR,0.01,381.18,0.06,25.87323409
2020/01/29,UTTAR PRADESH,JALAUN,0.01,696.48,0.07,29.87320959
2020/01/29,UTTAR PRADESH,GHAZIABAD,0.02,213.55,0.2,21.05705431
2020/01/29,UTTAR PRADESH,ETAH,0,280.21,0,21.81143516
2020/01/29,UTTAR PRADESH,BALLIA,0,188.42,0,12.30115831
2020/01/29,UTTAR PRADESH,UNNAO,0.27,523.1,2.59,22.29326052
2020/01/29,UTTAR PRADESH,MAU,0,113.33,0,13.11806505
2020/01/29,UTTAR PRADESH,SITAPUR,0,648.08,0.01,21.93300646
2020/01/29,UTTAR PRADESH,PRAYAGRAJ,0,457.9,0,17.22614251
2020/01/29,UTTAR PRADESH,BAREILLY,0.35,545.94,2.43,28.14853102
2020/01/29,UTTAR PRADESH,SHRAWASTI,0.16,339.54,1.53,26.50764114
2020/01/29,UTTAR PRADESH,SULTANPUR,0,543.56,0,24.1282357
2020/01/29,UTTAR PRADESH,GONDA,0.7,551.98,4.85,26.77484893
2020/01/29,UTTAR PRADESH,GAUTAM BUDDHA NAGAR,0,139.29,0,19.2928843
2020/01/29,UTTAR PRADESH,KANSIRAM NAGAR,0.21,222.36,1.86,22.10888993
2020/01/29,UTTAR PRADESH,MAHARAJGANJ,0,382.95,0,25.85895929
2020/01/29,UTTAR PRADESH,MAINPURI,0.03,304.06,0.27,22.04544899
